Depth,Node,Ranking,Selection Values,Time for Generation,Time since initiation
1,,"[(23, 72), (76, 74), (2, 80), (32, 80), (41, 81), (42, 81), (92, 82), (8, 84), (19, 85), (38, 86), (40, 86), (36, 87), (73, 87), (27, 88), (78, 88), (91, 88), (10, 89), (0, 91), (25, 91), (4, 93), (29, 93), (39, 93), (60, 93), (80, 93), (17, 94), (54, 94), (58, 94), (88, 94), (7, 95), (26, 95), (52, 95), (62, 95), (96, 95), (6, 96), (33, 96), (56, 96), (61, 96), (63, 96), (95, 96), (9, 97), (15, 97), (55, 97), (5, 98), (47, 98), (77, 98), (90, 98), (94, 98), (35, 99), (85, 99), (86, 99), (98, 99), (3, 100), (21, 100), (30, 100), (57, 100), (34, 101), (48, 101), (65, 101), (71, 101), (82, 101), (16, 102), (59, 102), (93, 102), (20, 103), (50, 103), (64, 103), (1, 104), (18, 104), (22, 104), (45, 104), (53, 104), (74, 104), (28, 105), (46, 105), (49, 105), (68, 105), (70, 105), (75, 105), (87, 105), (13, 106), (37, 106), (43, 106), (14, 107), (44, 107), (97, 107), (24, 109), (31, 109), (69, 109), (51, 110), (83, 112), (67, 113), (99, 113), (72, 115), (81, 115), (84, 115), (12, 119), (89, 119), (79, 121), (11, 126), (66, 129)]","[23, 76, 2, 32, 41, 42, 92, 8, 19, 38, 40, 36, 73, 27, 78, 91, 10, 0, 25, 4]",6.111708402633667,6.111708402633667
2,0,"[(0, 72), (1, 79), (5, 80), (4, 81), (6, 82), (2, 83), (7, 84), (14, 84), (3, 85), (8, 86), (9, 86), (10, 86), (11, 87), (12, 87), (13, 88), (53, 88), (15, 89), (16, 91), (17, 91), (19, 93), (50, 93), (18, 95), (75, 97), (56, 102), (95, 102), (61, 104), (34, 105), (94, 107), (39, 109), (90, 109), (42, 110), (89, 110), (64, 111), (84, 111), (31, 112), (41, 112), (78, 112), (77, 113), (96, 113), (29, 114), (32, 114), (46, 114), (81, 114), (20, 115), (43, 116), (85, 116), (21, 117), (24, 117), (52, 117), (54, 117), (74, 117), (88, 117), (99, 117), (49, 118), (55, 118), (59, 118), (69, 118), (83, 118), (98, 118), (35, 119), (48, 119), (33, 120), (58, 120), (80, 120), (92, 120), (97, 120), (40, 122), (51, 122), (91, 122), (63, 123), (70, 123), (72, 123), (82, 124), (23, 125), (62, 125), (93, 125), (79, 126), (87, 126), (28, 127), (44, 127), (25, 128), (36, 128), (26, 129), (27, 129), (86, 129), (60, 131), (37, 133), (65, 133), (38, 134), (76, 134), (47, 135), (66, 135), (67, 136), (73, 136), (30, 139), (57, 140), (71, 140), (45, 141), (68, 142), (22, 144)]","[0, 1, 5, 4, 6, 2, 7, 14, 3, 8, 9, 10, 11, 12, 13, 53, 15, 16, 17, 19]",2.7756006717681885,8.888304948806763
2,1,"[(0, 72), (1, 76), (2, 80), (3, 80), (93, 80), (4, 81), (5, 81), (6, 82), (7, 84), (8, 86), (9, 86), (10, 86), (11, 87), (13, 88), (14, 88), (15, 90), (12, 91), (17, 93), (16, 102), (19, 102), (29, 106), (81, 107), (55, 109), (80, 109), (87, 109), (97, 109), (22, 110), (25, 110), (56, 110), (57, 110), (69, 110), (96, 110), (38, 111), (91, 111), (44, 112), (18, 113), (32, 113), (70, 113), (51, 114), (58, 114), (84, 114), (92, 114), (63, 115), (65, 115), (88, 115), (47, 116), (68, 116), (37, 117), (66, 117), (82, 117), (83, 117), (86, 117), (89, 117), (31, 118), (41, 118), (45, 118), (54, 118), (85, 118), (53, 119), (49, 120), (99, 120), (67, 121), (24, 122), (48, 122), (60, 122), (90, 122), (61, 123), (76, 123), (28, 124), (34, 124), (71, 124), (23, 125), (62, 125), (79, 125), (40, 126), (73, 127), (27, 128), (75, 128), (95, 128), (42, 129), (64, 129), (35, 130), (98, 130), (33, 131), (20, 132), (78, 132), (26, 133), (43, 133), (39, 134), (46, 136), (21, 137), (30, 137), (36, 137), (52, 139), (59, 139), (94, 142), (74, 145), (77, 145), (72, 146), (50, 160)]","[0, 1, 2, 3, 93, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 12, 17, 16, 19]",2.8218955993652344,14.462002515792847
3,0,"[(0, 72), (1, 79), (2, 80), (3, 81), (4, 82), (5, 84), (6, 84), (7, 84), (10, 86), (11, 86), (12, 87), (13, 87), (14, 88), (15, 88), (44, 88), (8, 89), (9, 89), (16, 90), (17, 91), (18, 91), (19, 97), (69, 98), (23, 104), (38, 105), (30, 106), (49, 108), (41, 109), (37, 110), (73, 110), (76, 110), (64, 111), (77, 112), (84, 112), (59, 113), (90, 113), (97, 113), (32, 114), (39, 114), (62, 114), (88, 114), (91, 114), (98, 114), (56, 115), (82, 115), (99, 115), (71, 116), (93, 116), (26, 117), (65, 117), (95, 117), (28, 118), (48, 118), (60, 118), (80, 118), (94, 118), (85, 119), (25, 120), (47, 120), (55, 120), (22, 121), (24, 121), (70, 121), (50, 122), (67, 122), (27, 123), (52, 123), (81, 123), (53, 124), (35, 125), (45, 125), (58, 125), (92, 125), (42, 126), (72, 126), (36, 127), (54, 127), (20, 128), (57, 128), (63, 128), (74, 128), (87, 129), (96, 129), (29, 130), (51, 130), (40, 131), (61, 132), (75, 133), (68, 134), (86, 134), (21, 135), (66, 136), (43, 138), (78, 140), (83, 140), (89, 140), (33, 141), (79, 141), (34, 143), (31, 146), (46, 156)]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 44, 8, 9, 16, 17, 18]",2.8848283290863037,20.35659408569336
